"State","County","Veteran_Population","Total_Expenditure","Compensation_Pensions","Construction","Edu_Voc_Rehab_Emp","Loan_Guaranty","General_Operating_Expenses","Insurance_Indemnities","Medical_Care","Unique_Patients"
"ALABAMA","AUTAUGA","5862.75","22945.51","14716.61","0","935.54","0","0","273.41","7019.95","1250.32"
"ALABAMA","BALDWIN","20397.25","47829.38","32059.72","0","1186.99","0","0","1159.3","13423.36","3340.85"
"ALABAMA","BARBOUR","2784.63","10818.45","6519.36","0","241.18","0","0","93.28","3964.63","581.15"
"ALABAMA","BIBB","1453.16","6832.88","3701.65","0","105.19","0","0","17.67","3008.36","498.13"
"ALABAMA","BLOUNT","4392.76","15376.58","8979.27","0","236.11","0","0","117.66","6043.53","920.23"
"ALABAMA","BULLOCK","1022.92","5571.92","2296.02","0","41.92","0","0","20.91","3213.07","260.07"
"ALABAMA","BUTLER","2054.79","7205.19","4361.7","0","170.33","0","0","50.48","2622.68","421.11"
"ALABAMA","CALHOUN","12818.27","54663.17","37338.33","0","1524.88","0","0","418.03","15381.92","3071.78"
"ALABAMA","CHAMBERS","3301.47","14013.04","7935.52","0","266.28","0","0","96.79","5714.45","844.21"
"ALABAMA","CHEROKEE","2233.75","7581.7","4942.32","0","131.02","0","0","82.69","2425.66","435.11"
"ALABAMA","CHILTON","3339.46","13327.07","8728.4","0","275.58","0","0","160.43","4162.66","695.18"
"ALABAMA","CHOCTAW","1025.86","5239.32","3357.95","0","62.31","0","0","9.88","1809.18","329.08"
"ALABAMA","CLARKE","1968.36","7594.99","4802.79","0","156.68","0","0","64.62","2570.9","480.12"
"ALABAMA","CLAY","1230.19","4935.21","3359.89","0","74.5","0","0","25.02","1475.8","260.07"
"ALABAMA","CLEBURNE","1178.03","3613.85","2213.74","0","72.82","0","0","13.16","1314.13","219.06"
"ALABAMA","COFFEE","6194.83","28311.9","21139.45","0","1474.82","0","0","431.27","5266.36","1428.36"
"ALABAMA","COLBERT","4746.86","18644.09","13040.54","0","334.68","0","0","331.29","4937.58","1158.29"
"ALABAMA","CONECUH","1298.09","5295.59","3904.47","0","101.19","0","0","15.43","1274.5","252.06"
"ALABAMA","COOSA","1092.54","3560.72","1888.82","0","38.83","0","0","25.8","1607.27","240.06"
"ALABAMA","COVINGTON","3591.66","15959.9","10324.08","0","247.42","0","0","128.16","5260.24","850.22"
"ALABAMA","CRENSHAW","1141.85","5318.98","3222.5","0","41.92","0","0","18.91","2035.65","289.07"
"ALABAMA","CULLMAN","7717.87","24432.09","15983","0","672.08","0","0","349.11","7427.91","1355.34"
"ALABAMA","DALE","6943.54","33490.81","25356","0","1473.97","0","0","364.17","6296.67","1756.44"
"ALABAMA","DALLAS","3102.16","15520.88","8753.31","0","383.4","0","0","158.83","6225.35","824.21"
"ALABAMA","DE KALB","4659.7","15702.75","10347.94","0","381.28","0","0","280.06","4693.47","932.24"
"ALABAMA","ELMORE","8554.4","37261.03","24021.09","0","1139.89","0","0","300.33","11799.73","1974.5"
"ALABAMA","ESCAMBIA","3252.84","13267.65","9307.26","0","228.89","0","0","160.67","3570.83","761.19"
"ALABAMA","ETOWAH","9570.63","38609.58","24899.36","0","664.67","0","0","350.76","12694.78","2413.61"
"ALABAMA","FAYETTE","1433.49","10513.22","4929.03","0","101.85","0","0","36.29","5446.05","570.14"
"ALABAMA","FRANKLIN","1893.3","6622.11","4578.61","0","84.78","0","0","76.29","1882.43","393.1"
"ALABAMA","GENEVA","2611.65","13367.71","10022.69","0","262.25","0","0","131.61","2951.16","874.22"
"ALABAMA","GREENE","598.34","4336.72","2207.19","0","106.65","0","0","20.56","2002.32","239.06"
"ALABAMA","HALE","1034.43","6762.08","3866.4","0","100.85","0","0","37.99","2756.84","465.12"
"ALABAMA","HENRY","1840.36","6128.85","4265.4","0","129.61","0","0","23.19","1710.65","465.12"
"ALABAMA","HOUSTON","9116.13","38223.09","26100.77","0","1289.99","0","0","598.1","10234.23","2795.71"
"ALABAMA","JACKSON","4135.05","11450.22","6816.05","0","181.63","0","0","119.79","4332.74","753.19"
"ALABAMA","JEFFERSON","51595.18","239985.53","106662.5","5837.49","4825.9","0","2875.94","3505.51","116278.19","15837.01"
"ALABAMA","LAMAR","1374.1","5562.92","3297.93","0","58.79","0","0","100.7","2105.49","454.11"
"ALABAMA","LAUDERDALE","7459.49","24432.12","16399.24","0","678.35","0","0","542.6","6811.93","1596.4"
"ALABAMA","LAWRENCE","2235.62","7817.79","5028.88","0","168.51","0","0","59.93","2560.46","432.11"
"ALABAMA","LEE","10317.81","46573.26","28680.57","0","2325.44","0","0","715.11","14852.14","2199.56"
"ALABAMA","LIMESTONE","6491.26","19574.98","13279.95","0","917.41","0","0","295.01","5082.61","1101.28"
"ALABAMA","LOWNDES","721.56","4058.28","2002.34","0","47.85","0","0","106.9","1901.2","232.06"
"ALABAMA","MACON","1694.43","23789.01","8178.52","0","305.6","0","717.7","100.69","14486.5","1392.35"
"ALABAMA","MADISON","32283.98","96030.19","67776.7","0","5537.74","0","0","2110.69","20605.06","5469.38"
"ALABAMA","MARENGO","1616.22","10828.2","6236.41","0","183.09","0","0","54.04","4354.66","598.15"
"ALABAMA","MARION","2434.47","9235.04","5198.47","0","93.69","0","0","88.32","3854.56","639.16"
"ALABAMA","MARSHALL","6704.85","24029.01","15544.08","0","462.57","0","0","486.48","7535.9","1325.34"
"ALABAMA","MOBILE","36001.15","121304.01","73854.01","0","4252.42","0","11.03","1870.05","41316.49","8034.03"
"ALABAMA","MONROE","1937.45","5889.18","3976.95","0","103.95","0","0","49.94","1758.34","373.09"
"ALABAMA","MONTGOMERY","21269.8","153731.17","67633.59","1.13","14680.47","0","23082.43","1754.93","46578.61","6606.67"
"ALABAMA","MORGAN","10155.64","28426.13","19185.03","0","740.51","0","0","465.2","8035.39","1623.41"
"ALABAMA","PERRY","666.08","4576.99","3011.93","0","91.7","0","0","10.83","1462.53","202.05"
"ALABAMA","PICKENS","1766.81","10785.02","6139.77","0","189.8","0","0","41.76","4413.68","723.18"
"ALABAMA","PIKE","2320.32","9882.79","5755.86","0","456.81","0","0","130.24","3539.88","623.16"
"ALABAMA","RANDOLPH","1842.63","7826.02","5176.07","0","98.94","0","0","56.98","2494.03","482.12"
"ALABAMA","RUSSELL","4867.62","36041.13","21050.81","2762.09","1475.52","0","589.51","131.33","10031.86","1508.38"
"ALABAMA","SAINT CLAIR","7195.96","20692.49","11594.11","0","469.14","0","0","209.68","8419.56","1317.33"
"ALABAMA","SHELBY","14766.65","35877.29","21985.81","0","1191.44","0","0","668.94","12031.1","2167.55"
"ALABAMA","SUMTER","820.22","4464.15","2807.61","0","135.97","0","0","8.44","1512.13","275.07"
"ALABAMA","TALLADEGA","6843.76","23108.5","13966.32","0","626.27","0","0","242.61","8273.3","1351.34"
