State,FIPS,County,Veteran Population,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients
AL,1001,AUTAUGA,5893.26,27499572.43,17558929.38,0,1526713.84,0,0,446614.04,7967315.17,1147.5
AL,1003,BALDWIN,20484.54,57199937.93,37345205.17,0,1826672.82,0,0,1490424.12,16537635.82,3569.54
AL,1005,BARBOUR,2821.19,12886398.23,7496608.03,0,332350.74,0,0,39082.18,5018357.28,600.26
AL,1007,BIBB,1432.22,8336438.09,4315391.84,0,170659.95,0,0,37840.94,3812545.35,501.22
AL,1009,BLOUNT,4387.44,16276626.09,9971461.47,0,433601.04,0,0,67922.48,5803641.1,914.4
AL,1011,BULLOCK,1034.26,6998946.95,2769889.5,0,94670.33,0,0,5097.84,4129289.28,268.12
AL,1013,BUTLER,2037.41,8572173.08,5214581.88,0,305813.62,0,0,57895.4,2993882.19,400.17
AL,1015,CALHOUN,12732.39,63396032.3,43188191.11,0,2238584.22,0,0,1119264.53,16849992.45,3126.35
AL,1017,CHAMBERS,3271.64,15442350.42,9038567.51,0,404169.56,0,0,42671.73,5956941.62,827.36
AL,1019,CHEROKEE,2233.68,8580320.65,5724911.5,0,155569.76,0,0,40649.47,2659189.92,431.19
AL,1021,CHILTON,3313.82,16677332.38,10185825.24,0,384602.44,0,0,117378.35,5989526.35,750.32
AL,1023,CHOCTAW,997.91,6240086.4,3857458.23,0,147508.8,0,0,21579.45,2213539.92,348.15
AL,1025,CLARKE,1933.06,9485241.27,5432428.2,0,209360.22,0,0,101564.19,3741888.67,487.21
AL,1027,CLAY,1223.27,5771253.48,4104706.58,0,110830.49,0,0,32490.4,1523226.01,274.12
AL,1029,CLEBURNE,1187.79,4236804.18,2582324.44,0,191115.24,0,0,23925.87,1439438.63,246.11
AL,1031,COFFEE,6241.62,35922181.02,25570333.93,0,2086744.86,0,0,492501.74,7772600.49,1490.64
AL,1033,COLBERT,4675.75,21521466.1,15247618.31,0,686391.95,0,0,316245.8,5271210.04,1204.52
AL,1035,CONECUH,1286.38,5852190.99,4117184.49,0,132351.49,0,0,159913.12,1442741.89,273.12
AL,1037,COOSA,1073.92,4731086.59,2230721.19,0,66393.77,0,0,63146.51,2370825.12,250.11
AL,1039,COVINGTON,3543.23,18298110.9,11916650.42,0,365764.84,0,0,146186.09,5869509.55,843.36
AL,1041,CRENSHAW,1143.48,6526976.34,3635362.43,0,101526.76,0,0,44278.94,2745808.21,284.12
AL,1043,CULLMAN,7763.07,27883089.25,17924673.08,0,1171858.83,0,0,277630.81,8508926.54,1341.58
AL,1045,DALE,6940.79,40816727.39,29461083.57,0,2286747.37,0,0,363649.21,8705247.24,1820.79
AL,1047,DALLAS,3041.77,16135931.53,9653076.74,0,571884.04,0,0,157468.2,5753502.55,843.36
